feature_name,decision,mask_rule,reason,notes
Lost Production (Time-based IEC B.2.4) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production (Time-based IEC B.3.2) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production (Production-based IEC B.2.2) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production (Production-based IEC B.2.3) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production (Production-based IEC B.3.2) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Energy Budget - Default (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Energy Theoretical (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Downtime (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Performance (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production Total (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Total) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Grid) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Noise) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Shadow) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Bats) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Birds) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Ice) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Sector Management) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Technical) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Marketing) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Boat Action) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Compensated Lost Production (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Virtual Production (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Curtailment (Grid Constraint) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production to Downtime and Curtailment Total (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production (Contractual Global) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production (Contractual Custom) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Potential power default PC (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Power, Standard deviation (kW)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Power, Minimum (kW)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Power, Maximum (kW)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Potential power learned PC (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Potential power reference turbines (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Cascading potential power (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Cascading potential power for performance (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Potential power met mast anemometer (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Potential power primary reference turbines (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Potential power secondary reference turbines (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Turbine Power setpoint (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Potential power estimated (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Potential power MPC (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Potential power met mast anemometer MPC (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Turbine Power setpoint, Max (kW)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Turbine Power setpoint, Min (kW)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Turbine Power setpoint, StdDev (kW)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Available Capacity for Production (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Available Capacity for Production (Planned) (kW),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Power factor (cosphi),keep,,Retained because it is part of the current graph forecasting feature packs.,
"Power factor (cosphi), Max",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Power factor (cosphi), Min",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Power factor (cosphi), Standard deviation",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Reactive power (kvar),keep,,Retained because it is part of the current graph forecasting feature packs.,
"Reactive power, Max (kvar)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Reactive power, Min (kvar)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Reactive power, Standard deviation (kvar)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Front bearing temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Rear bearing temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Stator temperature 1 (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Nacelle ambient temperature (°C),drop,,Out of scope for the current graph forecasting feature packs beyond the active ambient-temperature history protocol; retained upstream to support that task bundle.,
Nacelle temperature (°C),keep,,Retained because it is part of the current graph forecasting feature packs.,
Transformer temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Gear oil inlet temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Generator bearing rear temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Generator bearing front temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Gear oil temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Temp. top box (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Hub temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Ambient temperature (converter) (°C),keep,,Retained because it is part of the current graph forecasting feature packs.,
Rotor bearing temp (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Transformer cell temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Front bearing temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Front bearing temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Front bearing temperature, Standard deviation (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Rear bearing temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Rear bearing temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Rear bearing temperature, Standard deviation (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Temperature motor axis 1 (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Temperature motor axis 2 (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Temperature motor axis 3 (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
CPU temperature (°C),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Nacelle temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Nacelle temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Generator bearing front temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Generator bearing front temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Generator bearing rear temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Generator bearing rear temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Generator bearing front temperature, Std (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Generator bearing rear temperature, Std (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Nacelle temperature, Standard deviation (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Gear oil temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Gear oil temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Gear oil temperature, Standard deviation (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Hub temperature, min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Hub temperature, max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Hub temperature, standard deviation (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Ambient temperature (converter), Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Ambient temperature (converter), Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Ambient temperature (converter), StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Gear oil inlet temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Gear oil inlet temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Gear oil inlet temperature, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Nacelle ambient temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Nacelle ambient temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Nacelle ambient temperature, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Rotor bearing temp, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Rotor bearing temp, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Rotor bearing temp, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"CPU temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"CPU temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"CPU temperature, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Transformer cell temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Transformer cell temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Transformer cell temperature, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Transformer temperature, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Transformer temperature, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Transformer temperature, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Stator temperature 1, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Stator temperature 1, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Stator temperature 1, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temp. top box, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temp. top box, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temp. top box, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temperature motor axis 1, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temperature motor axis 1, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temperature motor axis 1, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temperature motor axis 2, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temperature motor axis 2, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temperature motor axis 2, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temperature motor axis 3, Max (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temperature motor axis 3, Min (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Temperature motor axis 3, StdDev (°C)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Voltage L1 / U (V),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Voltage L2 / V (V),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Voltage L3 / W (V),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Grid voltage (V),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Grid voltage, Max (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Grid voltage, Min (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Grid voltage, Standard deviation (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Voltage L1 / U, Min (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Voltage L1 / U, Max (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Voltage L1 / U, Standard deviation (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Voltage L2 / V, Min (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Voltage L2 / V, Max (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Voltage L2 / V, Standard deviation (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Voltage L3 / W, Min (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Voltage L3 / W, Max (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Voltage L3 / W, Standard deviation (V)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Current L1 / U (A),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Current L2 / V (A),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Current L3 / W (A),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Grid current (A),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Motor current axis 1 (A),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Motor current axis 2 (A),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Motor current axis 3 (A),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Current L1 / U, min (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Current L1 / U, max (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Current L1 / U, StdDev (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Current L2 / V, max (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Current L3 / W, max (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Current L2 / V, min (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Current L2 / V, StdDev (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Current L3 / W, min (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Current L3 / W, StdDev (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Grid current, Max (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Grid current, Min (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Grid current, StdDev (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Motor current axis 1, Max (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Motor current axis 1, Min (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Motor current axis 1, StdDev (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Motor current axis 2, Max (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Motor current axis 2, Min (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Motor current axis 2, StdDev (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Motor current axis 3, Max (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Motor current axis 3, Min (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Motor current axis 3, StdDev (A)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Rotor speed (RPM),keep,,Retained because it is part of the current graph forecasting feature packs.,
Generator RPM (RPM),keep,,Retained because it is part of the current graph forecasting feature packs.,
Gearbox speed (RPM),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Generator RPM, Max (RPM)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Generator RPM, Min (RPM)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Generator RPM, Standard deviation (RPM)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Rotor speed, Max (RPM)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Rotor speed, Min (RPM)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Rotor speed, Standard deviation (RPM)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Gearbox speed, Max (RPM)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Gearbox speed, Min (RPM)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
