source_asset,source_table_or_file,source_column,decision,mask_rule,canonical_outputs,required_for_protocols,reason,notes
tblDailySummary,tblDailySummary,CurtailmentOverFreqEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentOverFreqHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentOverWindEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentOverWindHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentTurbineEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,CurtailmentTurbineHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,DataGenerationTimeStamp,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EffNumberOfValidSamples,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,Energy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossAbsolutePower,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossAbsoluteSpinningReserve,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossApparentPower,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossCorrection,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossEPCmode,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossExternalLimit,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossFlex,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossFreeze,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossFrequencyResponse,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossGridMeasurementFailOver,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossGridProtection,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossHeartbeatFailure,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossInertialResponse,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossManualControl,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossPOverload,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossPUpperReferenceLimiter,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossParkStart,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossParkStop,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossProgramStart,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossRelativeSpinningReserve,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossSampleCount,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossSoftRecovery,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossStandardRamping,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossVariationControl,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyLossWindMonitor,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,EnergyTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ExtErrHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ForgoneEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GeneratorHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridExportEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridExportEnergyTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridFault2Hours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridFault2HoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridFaultTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridImportEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridImportEnergyTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridNetto,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridOkHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridOkHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridOutTime,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridReactiveExportEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridReactiveExportEnergyTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,GridReactiveImportEnergy,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,IntErrHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ManufAvailTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MeanFlapLoadBladeA,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MeanFlapLoadBladeB,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MeanFlapLoadBladeC,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MeanPower,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MeanTlcDeltaDay,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MeanTlcSpeedReduction,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MetMaxGustWindSpeed,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MetMeanWindSpeed,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MetWindInsRange,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MetWindInsRangeTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MetWindSpeed,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MetWindSpeedGustMaxTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,MetWindSpeedMeanTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,NacelleWind,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,NetEnergyTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,NominalPower,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,NotStandStillHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,NotStandStillHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OnOffCycles,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OtherHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OtherHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OutCmdHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OutCmdHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OutEnvHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OutEnvHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OutGrdHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OutGrdHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OutTurHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,OutTurHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,PeriodHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ProdAvail,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ProdAvailTotalLoss,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ProdAvailValidSamples,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ReactiveEnergyConsTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ReactiveEnergyExport,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ReactiveEnergyExportTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ReactiveEnergyImport,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ReactiveEnergyImportTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ResetDateTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,Revision,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,SamplePeriode,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,Samples,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,SamplesTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,SpecialAvailGridTime,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,SpecialAvailHighWindTime,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,SpecialAvailParkPilotTime,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,SpecialAvailStopTime,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StandStillHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StandStillHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StartsAttempted,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StartsAttemptedTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StartsCompleted,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StartsCompletedTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StationGroupId,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StationId,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsCommanded,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsCommandedTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsEnvironmental,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsEnvironmentalTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsGridFault,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsGridFaultTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsNoiseZ12,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsNoiseZ12Tot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsNoiseZ3,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsNoiseZ3Tot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsTurbineFault,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,StopsTurbineFaultTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TimeErr,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TimeExternalErr,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TimeGenerator,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TimeOk,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TimeReady,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TimeStamp,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TimeStampCreated,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TlcActiveDurationHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TotalProductionLossDueToTlcError,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TotalTlcActive,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TransitionsHighToLow,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TransitionsHighToLowTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TransitionsLowToHigh,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TransitionsLowToHighTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TurbineNotReadyTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TurbineOkHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TurbineOkHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,TurbineReadyTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,WindFaultHours,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,WindFaultHoursTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,WindInsRange,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,WindInsRangeTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,WindSpeedGustMaxSub,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,WindSpeedGustMaxTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,WindSpeedMeanSub,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,WindSpeedMeanTot,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF1,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF10,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF11,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF12,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF13,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF2,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF3,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF4,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF5,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF6,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF7,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF8,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eAPF9,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF1,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF10,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF11,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF12,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF13,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF2,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF3,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF4,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF5,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF6,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF7,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF8,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,eOTF9,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF1,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF10,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF11,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF12,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF13,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF2,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF3,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF4,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF5,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF6,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF7,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF8,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblDailySummary,tblDailySummary,ePPF9,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblGrid,tblGrid,ActivePower,keep,,,,Retained by the current dataset-side processing pipeline or core row alignment.,
tblGrid,tblGrid,ActivePowerExport,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblGrid,tblGrid,ActivePowerImport,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblGrid,tblGrid,CurrentL1,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblGrid,tblGrid,CurrentL2,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblGrid,tblGrid,CurrentL3,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblGrid,tblGrid,DigitalInputBlock1,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblGrid,tblGrid,DigitalInputBlock2,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
tblGrid,tblGrid,DigitalInputBlock3,drop,,,,Dropped before silver to avoid rebuilding unused raw columns.,
